fiscal_year,rank,recipient_name,recipient_uei,obligations
2024,13,RTX CORPORATION,QN1BCFY7JDJ5,5039155836.29
2024,14,"NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC",LUJEPCRRT377,5011800882.83
2024,15,THE BOEING COMPANY,WZWRLY4G3PL8,4978236519.71
2024,16,LOCKHEED MARTIN CORPORATION,H7PNSVNN5827,4833655272.71
2024,17,"ATLANTIC DIVING SUPPLY, INC.",GJMSFBCNMSK3,4826046134.74
2024,18,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SMNWM6HN79X5,4825314545.48
2024,19,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,4805539711.95
2024,20,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,4450548616.9
2024,21,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,3869713121.22
2024,22,"AMENTUM SERVICES, INC.",QEMLRQA7PLG4,3812049905.58
2024,23,"CONSOLIDATED NUCLEAR SECURITY, LLC",EWV8QKG1JUV7,3649011084.1
2024,24,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,3581365013.35
2024,25,"HEALTH NET FEDERAL SERVICES, LLC",F7NGF6NJFB96,3545991795.3
2024,26,NORTHROP GRUMMAN SYSTEMS CORP,D8QQPFNYJD63,3486048164.7
2024,27,"FLUOR MARINE PROPULSION, LLC",CWHMVCX7K1N6,3467756235.35
2024,28,SPACE EXPLORATION TECHNOLOGIES CORP.,C6M7C2FLKER5,3400844010.0
2024,29,ACCENTURE FEDERAL SERVICES LLC,C47BNA8GM833,3371908368.25
2024,30,DELOITTE CONSULTING LLP,CKV2L9GZKJK3,3256031497.2
2024,31,"LAWRENCE LIVERMORE NATIONAL SECURITY, LLC",PM52LCJH72T9,3166514253.56
2024,32,RAYTHEON COMPANY,XSV6AZJ6SDJ7,3018670090.0
2024,33,"LEIDOS, INC.",UE9QJD4KK1L6,2997807269.07
2024,34,"CACI, INC. - FEDERAL",N3PBJAVNKF61,2782238530.28
2024,35,GENERAL DYNAMICS LAND SYSTEMS INC.,HAWKSQF848W7,2649485114.46
2024,36,ADVANCED TECHNOLOGY INTERNATIONAL,LDMMF472BB93,2620429999.21
2024,37,UT-BATTELLE LLC,ZLHJJ57QA2H8,2546284448.45
2024,38,LOCKHEED MARTIN CORP,FYHNA5WC8XD7,2461660572.28
2024,39,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",ZH4NVFG3Z526,2316935164.08
2024,40,BAE SYSTEMS LAND & ARMAMENTS L.P.,DMHSJF9K3XP9,2301394809.96
2024,41,LOCKHEED MARTIN CORPORATION,CWM4UN76ZQW8,2262102775.27
2024,42,OKINAWA IDEMITSU K.K.,JA8GWB6NWKC5,2211820686.15
2024,43,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,2181732373.0
2024,44,CALIFORNIA INSTITUTE OF TECHNOLOGY,YC1YP79BFD19,2175797851.68
2024,45,LOCKHEED MARTIN CORPORATION,HJP4JZG1FUL9,2163352099.32
2024,46,NORTHROP GRUMMAN SYSTEMS CORPORATION,PK8PM2GNVMP8,2103720079.94
2024,47,SAVANNAH RIVER NUCLEAR SOLUTIONS LLC,XLQ7CKUSQSD5,2102225621.11
2024,48,BATH IRON WORKS CORPORATION,FREEMCLKFXE3,2082161580.7
2024,49,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,C1HBCJ9RMBV3,2005236293.85
2024,50,PERATON INC.,ZBPQEJVECCT4,1984279148.31
2025,1,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,34094675624.06
2025,2,"OPTUM PUBLIC SECTOR SOLUTIONS, INC.",XMUZGJN98231,22490531833.8
2025,3,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,21366142819.4
2025,4,TRIWEST HEALTHCARE ALLIANCE CORP,J7M9HPTGJ1S9,13374744670.22
2025,5,MCKESSON CORPORATION,S1RUKWWRYFL6,11870480004.52
2025,6,RAYTHEON COMPANY,VTEWM5QSE598,10726486398.51
2025,7,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,10420319267.6
2025,8,AMERISOURCEBERGEN DRUG CORP,KABZK8W6PQT3,7442279749.8
2025,9,RTX CORPORATION,QN1BCFY7JDJ5,7280696848.45
2025,10,BOOZ ALLEN HAMILTON INC,JCBMLGPE6Z71,6593238379.31
2025,11,HUMANA GOVERNMENT BUSINESS INC,ZE6ZM6NKSV43,6513706438.99
2025,12,THE BOEING COMPANY,JJM4FRDZJDX1,6292920465.96
2025,13,LOCKHEED MARTIN CORPORATION,H7PNSVNN5827,6056139555.96
2025,14,"ATLANTIC DIVING SUPPLY, INC.",GJMSFBCNMSK3,5993552607.61
2025,15,"NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC",LUJEPCRRT377,5673408173.92
2025,16,"TRIAD NATIONAL SECURITY, LLC",X7WUS5LRBQU3,5199738722.65
2025,17,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,4831722056.27
2025,18,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SMNWM6HN79X5,4623098911.94
2025,19,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,4420840038.65
2025,20,THE BOEING COMPANY,WZWRLY4G3PL8,4373548603.34
2025,21,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,4370166805.06
2025,22,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,4195762708.42
2025,23,"LAWRENCE LIVERMORE NATIONAL SECURITY, LLC",PM52LCJH72T9,3625335906.99
2025,24,"FLUOR MARINE PROPULSION, LLC",CWHMVCX7K1N6,3551315617.84
2025,25,"AMENTUM SERVICES, INC.",QEMLRQA7PLG4,3527323674.28
2025,26,"CACI, INC. - FEDERAL",N3PBJAVNKF61,3519758246.31
2025,27,RAYTHEON COMPANY,XSV6AZJ6SDJ7,3385092055.76
2025,28,ACCENTURE FEDERAL SERVICES LLC,C47BNA8GM833,3235465824.13
2025,29,BCCG A JOINT VENTURE,VNQTYNAV9C25,3127100299.0
2025,30,LOCKHEED MARTIN CORP,FYHNA5WC8XD7,3100606944.59
2025,31,"LEIDOS, INC.",UE9QJD4KK1L6,3037225603.16
2025,32,SPACE EXPLORATION TECHNOLOGIES CORP.,C6M7C2FLKER5,2999808160.19
2025,33,DELOITTE CONSULTING LLP,CKV2L9GZKJK3,2971961455.98
2025,34,QTC MEDICAL SERVICES INC,GN8YP96TMPK6,2886404915.81
2025,35,UT-BATTELLE LLC,ZLHJJ57QA2H8,2679775140.73
2025,36,LOCKHEED MARTIN CORP,SJDEB3MKJEW5,2583795462.9
2025,37,LOCKHEED MARTIN CORPORATION,CWM4UN76ZQW8,2538798064.36
2025,38,"CONSOLIDATED NUCLEAR SECURITY, LLC",EWV8QKG1JUV7,2537032357.81
2025,39,"OPTUMSERVE HEALTH SERVICES, INC.",G5XXLHZSW8X3,2535929719.91
2025,40,THE BOEING COMPANY,MF2LE5RK6L84,2452658394.99
2025,41,BATH IRON WORKS CORPORATION,FREEMCLKFXE3,2370441136.89
2025,42,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,C1HBCJ9RMBV3,2363755170.13
2025,43,RAYTHEON COMPANY,YD6LTFVUZNG1,2360503115.17
2025,44,CALIFORNIA INSTITUTE OF TECHNOLOGY,YC1YP79BFD19,2297095444.23
2025,45,THE BOEING COMPANY,UEGFHX6R6KJ1,2273652112.48
2025,46,"SIERRA NEVADA COMPANY, LLC",N1PWVLN6F4U1,2243556112.09
2025,47,BAE SYSTEMS LAND & ARMAMENTS L.P.,DMHSJF9K3XP9,2164547912.81
2025,48,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,2144997042.0
2025,49,"HONEYWELL FEDERAL MANUFACTURING & TECHNOLOGIES, LLC",DMEGBYTVBQS5,2113530440.22
2025,50,PERATON INC.,ZBPQEJVECCT4,2091883629.55
